Time period,Number of fixed performance bugs,Total number of fixed bugs,Percentage
2016-12,2,28,0.07142857142857142
2017-01,2,36,0.05555555555555555
2017-02,2,61,0.03278688524590164
2017-03,2,113,0.017699115044247787
2017-04,2,134,0.014925373134328358
2017-05,2,158,0.012658227848101266
2017-06,5,198,0.025252525252525252
2017-07,5,238,0.02100840336134454
2017-08,8,326,0.024539877300613498
2017-09,12,388,0.030927835051546393
2017-10,12,424,0.02830188679245283
2017-11,13,445,0.029213483146067417
2017-12,14,462,0.030303030303030304
2018-01,14,473,0.02959830866807611
2018-02,14,493,0.028397565922920892
2018-03,15,506,0.029644268774703556
2018-04,16,530,0.03018867924528302
2018-05,18,566,0.03180212014134275
2018-06,19,599,0.03171953255425709
2018-07,21,635,0.03307086614173228
2018-08,23,699,0.032904148783977114
2018-09,25,758,0.032981530343007916
2018-10,27,831,0.032490974729241874
2018-11,28,884,0.03167420814479638
2018-12,29,953,0.030430220356768102
2019-01,29,1009,0.028741328047571853
2019-02,31,1079,0.028730305838739572
2019-03,32,1134,0.02821869488536155
2019-04,34,1194,0.02847571189279732
2019-05,37,1245,0.02971887550200803
2019-06,41,1304,0.03144171779141104
2019-07,43,1353,0.031781226903178125
2019-08,47,1406,0.033428165007112376
2019-09,51,1459,0.03495544893762851
2019-10,52,1504,0.034574468085106384
2019-11,54,1572,0.03435114503816794
2019-12,55,1640,0.03353658536585366
2020-01,56,1688,0.03317535545023697
2020-02,58,1749,0.03316180674671241
2020-03,62,1816,0.034140969162995596
2020-04,65,1885,0.034482758620689655
2020-05,67,1959,0.034201123021949976
2020-06,73,2046,0.03567937438905181
2020-07,76,2114,0.03595080416272469
2020-08,78,2175,0.03586206896551724
2020-09,83,2242,0.037020517395182875
2020-10,84,2325,0.03612903225806452
2020-11,91,2424,0.037541254125412545
2020-12,95,2506,0.03790901835594573
2021-01,99,2576,0.038431677018633544
2021-02,106,2656,0.039909638554216864
2021-03,110,2730,0.040293040293040296
2021-04,113,2788,0.040530846484935434
