Issue.ID,Number.of.issue.solving.commits.found,Total.additions.made.to.fix.the.issue,Total.deletions.made.to.fix.the.issue,Total.changes.made.to.fix.the.issue,Commits..commit.hashcode..date.of.commit..commit.s.author..number.of.additions.made.by.the.commit..number.of.deletions.made.by.the.commit..number.of.total.changes.made.by.the.commit..approach.used.to.find.the.commit.
1,19,4393,948,5341,"(0b93974075844601913c6df50f6566418a35eee8, 2021-02-25 14:32:13 -0800, Akao Kazutoshi, 2, 2, 4, LINK), (ad260ae7fd8e295015cef3a911431fb55752a63b, 2020-10-28 19:25:43 -0700, Pritam Damania, 3, 0, 3, LINK), (a058e938f944b6834b5d237735d715a79974b656, 2020-05-04 11:51:15 -0700, Edward Yang, 156, 57, 213, LINK), (1fe635be3c540ac9fd0a48cb1fcf3fb67eef64e2, 2020-02-19 18:39:33 -0800, Gao Xiang, 251, 159, 410, LINK), (9c2ed2574a9e36e2572486382fb4bc5b37ab8b9e, 2020-02-03 16:18:48 -0800, Xiang Gao, 1204, 441, 1645, LINK), (bad67015fedfa9de0e75999f89a7b661bd6a860f, 2019-06-06 19:24:29 -0700, ptrblck, 5, 2, 7, LINK), (7e6d932208a866551ca1b9ea7f149d48eb3ad413, 2019-06-05 18:03:51 -0700, Junjie Bai, 7, 1, 8, LINK), (b90cbb841d98aeae435b1d02b1ff211e028cdf5b, 2019-04-05 12:44:49 -0700, Joakim Rishaug, 1, 1, 2, LINK), (be6ad7ddde64cebeec4cd9537ddc3bca9cbe18e5, 2019-02-22 07:54:47 -0800, Will Feng, 8, 8, 16, LINK), (84d464f8f9ef470e7720b20ee297d07c512bfc82, 2018-11-15 14:51:44 -0800, Yinghai Lu, 1, 1, 2, LINK), (0b78ae86c59e7372f0b9d4cadcd0e50bc76f8667, 2018-09-10 15:30:08 -0700, Owen Anderson, 77, 29, 106, LINK), (26f038a557ae4fa9eb856b286c31f4f9ec2b27f3, 2018-01-22 17:47:18 -0800, Yongjik Kim, 178, 55, 233, LINK), (966db35dd9422c0da8595548d595dd2979c8c4fc, 2018-01-22 17:47:18 -0800, Yongjik Kim, 178, 55, 233, LINK), (83b36175fc0c6209e74592065aa4cbaa2fc825c9, 2017-11-14 11:43:00 +0800, peterjc123, 16, 2, 18, LINK), (4664808938b22c22abd216008926ecd81cb0c5e5, 2017-09-24 17:07:30 -0700, Igor Sugak, 1, 1, 2, LINK), (efda016108f16d4ac6087a3bcb0909729c1a7e11, 2017-09-13 23:17:05 -0700, Philip Pronin, 2, 2, 4, LINK), (080fab8f6c82daa93b478267f3a604e1bdb8083f, 2017-08-30 16:11:39 -0700, Misha Smelyanskiy, 1737, 64, 1801, LINK), (fe2c360eda650a485adca3d0629a8ef23cd2d3ab, 2017-03-09 19:23:37 +0100, Filip Binkiewicz, 358, 7, 365, LINK), (fa0451afe0cc207fdafa31214dbcf96acb64ac15, 2015-04-04 12:49:40 -0700, Adam Lerer, 208, 61, 269, LINK)"
10,5,21,19,40,"(0b93974075844601913c6df50f6566418a35eee8, 2021-02-25 14:32:13 -0800, Akao Kazutoshi, 2, 2, 4, LINK), (48d5ab54a842cf1e6893f4e3b896c37088eb6616, 2019-04-25 20:50:47 -0700, Jack Montgomery, 9, 7, 16, LINK), (b90cbb841d98aeae435b1d02b1ff211e028cdf5b, 2019-04-05 12:44:49 -0700, Joakim Rishaug, 1, 1, 2, LINK), (be6ad7ddde64cebeec4cd9537ddc3bca9cbe18e5, 2019-02-22 07:54:47 -0800, Will Feng, 8, 8, 16, LINK), (4664808938b22c22abd216008926ecd81cb0c5e5, 2017-09-24 17:07:30 -0700, Igor Sugak, 1, 1, 2, LINK)"
10009,1,9,7,16,"(242280162546797b32d6911b781d2dc74bed7fbf, 2018-07-31 13:35:40 -0700, Roy Li, 9, 7, 16, LINK)"
10013,1,17,17,34,"(9767951ca8a0af26d3caf2e84a52b10f81b9c2cb, 2018-08-22 12:27:10 -0700, Julian Rosenblum, 17, 17, 34, LINK)"
10032,1,6,4,10,"(29406a2c4c36d3c155abed16cf75f26af44426d4, 2018-08-04 11:30:57 -0700, Richard Zou, 6, 4, 10, LINK)"
10041,1,65,31,96,"(6b338c80264280b1c983ba49d0ffa43a499cd2fe, 2018-08-01 19:10:27 -0700, Richard Zou, 65, 31, 96, LINK)"
10096,1,306,83,389,"(e29b5a1ea8a8564550537f5db2ea0d4c8c45476d, 2018-08-17 15:46:06 -0700, Richard Zou, 306, 83, 389, LINK)"
10114,2,68,29,97,"(1c8a823b3b3b67e4e1bcf5d1102b6cfbda7cef15, 2018-10-29 11:54:08 -0700, Peter Goldsborough, 66, 29, 95, LINK), (01227f3ba7f0bc261c574373d8780209bb07eedf, 2018-10-21 20:05:57 -0700, Peter Goldsborough, 2, 0, 2, LINK)"
10120,1,56,16,72,"(49231ab0a8dc5381502d04a1ee3a32326fea93aa, 2018-09-06 16:06:25 -0700, Edward Yang, 56, 16, 72, LINK)"
10127,1,1,0,1,"(d57124823bb97c0233c7e84b79eec019f497ee87, 2019-10-08 11:39:15 -0700, Nathan Goldbaum, 1, 0, 1, LINK)"
1014,1,206,122,328,"(c2cfa4cf5bea1143d0a6e84f84881e85b6335c76, 2017-04-27 01:11:56 +0200, Adam Paszke, 206, 122, 328, LINK)"
10160,1,5,0,5,"(fe68879832f1198c0e2edb24d6b7b415ab9c87ae, 2018-08-07 09:51:54 -0700, Roy Li, 5, 0, 5, LINK)"
10206,1,23,10,33,"(df23bdc82da05f45037898d09662265876850698, 2018-08-05 15:47:02 -0700, Shuichi KITAGUCHI, 23, 10, 33, LINK)"
10236,1,1098,623,1721,"(24e958a0a779e3dcd7bda19ef3fa702ee654e9dc, 2018-09-19 16:17:18 -0700, Tongzhou Wang, 1098, 623, 1721, LINK)"
10237,1,85,14,99,"(1350f76b628bd4630439223adbe21ee993873f44, 2018-09-01 23:01:34 -0700, Tongzhou Wang, 85, 14, 99, LINK)"
10238,1,10,8,18,"(254dedf6043d5bea7dab6d1f663bcf9331628307, 2018-08-15 12:53:18 -0700, Tongzhou Wang, 10, 8, 18, LINK)"
10241,1,19,3,22,"(0b8a0125ab1c7af1d518c0018cf5596f24c1d55a, 2018-08-10 13:26:46 -0700, Christian Puhrsch, 19, 3, 22, LINK)"
10270,1,7,0,7,"(6e49f933ad01ccd9064e5ef3d433c7aefcfe3d86, 2018-08-08 21:04:44 -0700, Thomas Viehmann, 7, 0, 7, LINK)"
10276,1,29,38,67,"(64a60030a619ab656666be49aa332a96d8094845, 2018-08-09 12:39:04 -0700, Thomas Viehmann, 29, 38, 67, LINK)"
1029,1,0,2,2,"(b08862405ee992f2459d3ca628887a8d13fe446c, 2016-11-11 12:53:48 -0500, gchanan, 0, 2, 2, LINK)"
10307,1,21,0,21,"(7169906249fb57e0a9be00902abcb26457dcc14c, 2018-08-29 09:32:08 -0700, zou3519, 21, 0, 21, LINK)"
10345,1,38,21,59,"(a9469c9c8ab046a7961c1c357d84f60063507c4b, 2018-08-29 10:48:04 -0700, Ailing Zhang, 38, 21, 59, LINK)"
10353,1,2,3,5,"(64a6f17177732f459725ff64c6ba7c2db2c94bba, 2018-08-13 09:11:18 -0700, Edward Yang, 2, 3, 5, LINK)"
10357,1,1098,623,1721,"(24e958a0a779e3dcd7bda19ef3fa702ee654e9dc, 2018-09-19 16:17:18 -0700, Tongzhou Wang, 1098, 623, 1721, LINK)"
10397,1,2,3,5,"(64a6f17177732f459725ff64c6ba7c2db2c94bba, 2018-08-13 09:11:18 -0700, Edward Yang, 2, 3, 5, LINK)"
10435,1,1,1,2,"(508de8109fe88d6e690c03bc2c5ecb863f889062, 2018-08-12 18:06:41 -0700, Tongliang Liao, 1, 1, 2, LINK)"
10456,1,51,1,52,"(fed05cf4cf1063df009fc2280a0b5040606fde89, 2018-08-13 20:55:56 -0700, Richard Zou, 51, 1, 52, LINK)"
1046,1,112,0,112,"(f483679425fc766660003569fcc9789ee6a6fb0d, 2017-07-11 13:22:36 -0400, Amartya Sanyal, 112, 0, 112, LINK)"
10492,1,101,85,186,"(47d65ed34fa6bec4c3038edf1ee5119347607664, 2018-09-17 12:05:13 -0700, vishwakftw, 101, 85, 186, REGEX)"
10501,1,300,168,468,"(86c9856d9c878631e611de0e138bc409228bbfef, 2018-08-17 14:08:05 -0700, Richard Zou, 300, 168, 468, LINK)"
10523,1,1,1,2,"(26c764a1db1fecbab3870eb88c928da378ab0c5b, 2018-08-15 14:24:10 -0700, Marat Dukhan, 1, 1, 2, LINK)"
10532,1,66,4,70,"(5dd915cd1ac73d06b9c30134bacdac88aa24fae7, 2019-08-28 14:53:33 -0700, Stefan Krah, 66, 4, 70, LINK)"
10538,1,464,255,719,"(f6ec46489065d0fa3cb584210a3a932229f2a0ce, 2019-05-28 17:46:10 -0700, vishwakftw, 464, 255, 719, LINK)"
10540,1,50,32,82,"(05e06f7de2c84b8dd770c2f5008f5b7620e97d39, 2018-09-13 15:04:43 -0700, Jeff Smith, 50, 32, 82, LINK)"
10568,1,1,1,2,"(238b4b9236c8f0b36667ff9a83ca9125e34e7713, 2018-08-16 00:37:08 -0700, Tongliang Liao, 1, 1, 2, LINK)"
10570,1,4,5,9,"(7487ee55f10e8702b83ad2b79395991851edef7e, 2018-08-16 00:14:02 -0700, Tongliang Liao, 4, 5, 9, LINK)"
10584,1,6,1,7,"(c5c1c051cac7a120a1aeecaf3f6fb418d9a989d6, 2018-08-17 14:44:11 -0700, Tongzhou Wang, 6, 1, 7, LINK)"
10631,1,34,1,35,"(585e6b581f15332da5424d3ebf58767f780cd8dd, 2018-08-20 14:07:44 -0700, James Reed, 34, 1, 35, LINK)"
10632,1,156,86,242,"(3d43a8244091ff4ffa70404110263e202fd94a0c, 2018-08-23 15:06:16 -0700, Zachary DeVito, 156, 86, 242, LINK)"
10642,1,8,1,9,"(f1df85d799ab737e78f8a06b317a1852acbb3ef2, 2018-08-24 11:12:41 -0700, Wei Yang, 8, 1, 9, LINK)"
10648,1,80,22,102,"(5317429e826ad1049bdbdf40de79a25d3b957120, 2018-10-12 11:11:30 -0700, Ailing Zhang, 80, 22, 102, LINK)"
10654,1,24,1,25,"(e6bbbb017e1ad829316e7d7ea0f9ca9e78421da2, 2019-04-05 17:52:12 -0700, Elias Ellison, 24, 1, 25, LINK)"
10698,1,2,2,4,"(39a3dcc9999409a534331b3c3d905bfc298d51d2, 2018-08-20 13:55:28 -0700, Edward Yang, 2, 2, 4, LINK)"
10715,1,34,2,36,"(656e81db9372ea62f80155acded8b90b3445f0fd, 2018-09-06 07:43:10 -0700, Richard Zou, 34, 2, 36, LINK)"
10723,1,550,556,1106,"(de11fe0c8381bc8fa4182f247226d1f606d79678, 2018-09-21 16:21:32 -0700, Wei Yang, 550, 556, 1106, LINK)"
10726,1,16,13,29,"(a72603f8f8ffdd77a826129b18e839df3fe3a109, 2018-09-27 07:05:19 -0700, Freddie Mendoza, 16, 13, 29, LINK)"
10741,1,5,2,7,"(1421a9d7041d0c877ffdecb92ea90ead5425c0a5, 2018-08-28 09:22:15 -0700, Rohan Varma, 5, 2, 7, LINK)"
10742,1,488,102,590,"(bbe6ef38642cda127ece82f984ee3971e8750a45, 2018-10-15 13:38:59 -0700, Benoit Steiner, 488, 102, 590, LINK)"
10751,1,2,2,4,"(abb209ef253f47db0880f4482766d38c2c59212b, 2018-08-21 21:03:48 -0700, Tongzhou Wang, 2, 2, 4, LINK)"
10774,2,384,89,473,"(4d678790c56974108bcc2072380b850dcb0b74a8, 2018-09-06 16:33:59 -0700, Richard Zou, 186, 46, 232, LINK), (ca567862b279b9006e73dedc003779329d935772, 2018-08-24 07:57:28 -0700, Richard Zou, 198, 43, 241, LINK)"
10823,1,49,33,82,"(4ee0a78ee6452b7c1584b6020aef791b9d3e8ab6, 2018-09-18 07:36:15 -0700, Amitesh Arora, 49, 33, 82, LINK)"
10832,1,70,0,70,"(85ff72348d92c9e4b38dd00bbe42f0ca3e66667f, 2018-09-13 16:15:56 -0700, Gregory Chanan, 70, 0, 70, LINK)"
10838,1,4,4,8,"(02114e877f3b1acc4966968af73ff453ee1f9ad1, 2018-09-08 16:59:15 -0700, Yifei Teng, 4, 4, 8, LINK)"
10839,1,38,0,38,"(82aeebb3d972bb20fc7deac410d9705954bbd37f, 2018-08-31 07:20:35 -0700, Adam Paszke, 38, 0, 38, LINK)"
10850,1,51,1,52,"(11a16961a543a44ad7fc36d144888f5ddf070791, 2018-10-30 16:18:55 -0700, Will Feng, 51, 1, 52, LINK)"
10858,1,8,8,16,"(cda74ac476471e753ca06bd3491c84dc0bcaa813, 2018-09-11 17:42:03 -0700, Wei Yang, 8, 8, 16, LINK)"
1086,1,1,1,2,"(1d656b6769469a4e44373dbd8e2d5b41ade78770, 2017-03-24 12:11:12 +0000, Rodrigo Castro, 1, 1, 2, LINK)"
10873,1,47,12,59,"(d4e1fa45d055a1b00e8b7cfefa5c9f5db9ae6160, 2018-09-18 13:41:11 -0700, Wanchao Liang, 47, 12, 59, LINK)"
10876,1,45,3,48,"(407a9fee0c8fb172459ac9b3556419305e47f8a7, 2018-09-17 23:24:49 -0700, Wei Yang, 45, 3, 48, LINK)"
10882,1,160,27,187,"(700271d0e92c33a4cce3fee34b39ad5baa179b00, 2018-12-17 13:45:21 -0800, Spandan Tiwari, 160, 27, 187, LINK)"
10884,1,89,37,126,"(f940af629320a81834f1f70858869a185937da12, 2018-08-27 09:53:08 -0700, vishwakftw, 89, 37, 126, LINK)"
11030,1,181,189,370,"(6251c563eb1b02ea0ad76271e0f8a0e378348f00, 2019-06-05 06:30:54 -0700, Vishwak Srinivasan, 181, 189, 370, LINK)"
11033,1,7,0,7,"(cf10efb8d453e0cf69a64383d8ed4239f967860f, 2018-09-02 13:32:34 -0700, pbialecki, 7, 0, 7, LINK)"
11057,1,7,2,9,"(55212507a24bc742c5e9c68f1b917e9cc6c32b0f, 2018-09-05 10:55:36 -0700, Adam Paszke, 7, 2, 9, LINK)"
11074,1,13,9,22,"(d32b41003aa5d0ec10aa72be126ad9c136b50111, 2018-09-11 10:03:36 -0700, Orion Reblitz-Richardson, 13, 9, 22, LINK)"
11084,1,85,14,99,"(1350f76b628bd4630439223adbe21ee993873f44, 2018-09-01 23:01:34 -0700, Tongzhou Wang, 85, 14, 99, LINK)"
11089,1,19,3,22,"(ffbac7d0bb4e0772cab0054f79339478124ea9aa, 2018-09-24 11:50:41 -0700, Syed Tousif Ahmed, 19, 3, 22, LINK)"
11093,1,96,51,147,"(33ea7eafefb6a74d4d87b4e02f8d182640051ffc, 2018-12-04 18:45:45 -0800, Andy Chen, 96, 51, 147, LINK)"
11108,1,41,41,82,"(e1a17d5a42485810dcc2e92f1424e7204287d780, 2018-09-02 14:33:47 -0700, Tongliang Liao, 41, 41, 82, LINK)"
11118,2,94,4,98,"(068eac255b088c55cfdff55e73d7d24517c5e801, 2018-09-20 14:27:02 -0700, Thomas Viehmann, 61, 3, 64, LINK), (336323f53c21fb68c884fd071825ac31914300a0, 2018-09-17 13:28:27 -0700, Natalia Gimelshein, 33, 1, 34, LINK)"
11157,1,31,14,45,"(120d7694327dafcfca5fa4447f438772c9b1c729, 2018-09-11 05:58:11 -0700, Adam Paszke, 31, 14, 45, LINK)"
11186,1,93,32,125,"(ed47b85d3bd9c33ed723d2ae5309bebb4d619ac6, 2019-03-22 13:48:59 -0700, Natalia Gimelshein, 93, 32, 125, LINK)"
11195,1,1,1,2,"(a11ebfa195db22268e9db562a6295752f55bec4a, 2018-09-11 21:04:10 -0700, Tongliang Liao, 1, 1, 2, LINK)"
1120,1,507,0,507,"(343d65db91c2419843d36aed5467c2d1374108bc, 2017-01-27 13:29:05 -0500, Soumith Chintala, 507, 0, 507, LINK)"
11204,1,160,98,258,"(581099a7b22027a43ca0c7b443a2d70ca70ee05d, 2018-09-09 10:26:21 -0700, Thomas Viehmann, 160, 98, 258, LINK)"
11206,1,12,2,14,"(313e89d8db87cadaa13a1d28c797610e2f56d10a, 2018-09-04 17:14:14 -0700, Christian Puhrsch, 12, 2, 14, LINK)"
1121,1,5,2,7,"(def0506d9563c93e1620a1c7789ac21f6a9931c8, 2017-09-25 21:21:22 -0700, Lu Fang, 5, 2, 7, LINK)"
1126,1,43,44,87,"(ac9312e9f8002227b267a82e224a5a99c7a7e734, 2017-02-04 10:07:45 -0500, Will Frey, 43, 44, 87, LINK)"
1127,1,152,6,158,"(909f31764faf65c80f4d8eaeae8a12c67eb24c17, 2017-06-15 08:41:38 -0300, Aron Barreira Bordin, 152, 6, 158, LINK)"
11326,1,18,1,19,"(9a76e84a08cbbec0c8be4984ee5931b048bd6756, 2018-10-17 10:40:12 -0700, Zachary DeVito, 18, 1, 19, LINK)"
11339,2,245,71,316,"(947229ebd780b0ecead66029691fd18881947b59, 2019-01-03 10:29:03 -0800, Spandan Tiwari, 133, 40, 173, LINK), (f0f9277c3cda0b022af0dfaf21d043641bea80d2, 2018-12-20 12:24:42 -0800, Spandan Tiwari, 112, 31, 143, LINK)"
11360,1,1,0,1,"(2946b021e38dd4cd4d6465b5aa4a8efbb160c2e5, 2018-09-06 20:39:21 -0700, Edward Yang, 1, 0, 1, LINK)"
11362,1,12,0,12,"(7122f8b3bb7f7287cf0410a5ced2c5b120d15d30, 2018-09-25 10:19:39 -0700, Will Feng, 12, 0, 12, LINK)"
11398,1,204,65,269,"(6100c0ea14306f409bc6d7ba46b149c64a2417b3, 2018-09-20 14:35:02 -0700, Peter Goldsborough, 204, 65, 269, LINK)"
114,1,38,0,38,"(35348dab103316a929ae55d91a9d03e049d7fc43, 2018-09-11 20:23:03 -0700, Rasmus Diederichsen, 38, 0, 38, LINK)"
11419,1,1,1,2,"(fbc17321fdd96ce4dcc275ff61264d04f2fbd6e2, 2018-09-11 12:24:52 -0700, James Reed, 1, 1, 2, LINK)"
11422,1,222,55,277,"(be47470c91e467d8bddbc0e07f099cf2a200e5c0, 2018-12-05 10:52:39 -0800, Ailing Zhang, 222, 55, 277, LINK)"
11427,1,118,13,131,"(a8b1755de6c967bd8e9d777b6a0dddf4e7a6eed1, 2018-09-17 08:15:19 -0700, Gregory Chanan, 118, 13, 131, LINK)"
11430,1,50,19,69,"(72822ee6b251118aefbe9af75ac0fcb4ee56a0ee, 2018-09-14 08:55:39 -0700, Edward Yang, 50, 19, 69, LINK)"
11452,1,2,3,5,"(f09054f8d09cca58e3ef63568b18977e66ca56a6, 2018-09-14 17:45:51 -0700, Ailing Zhang, 2, 3, 5, LINK)"
11453,1,13,9,22,"(d32b41003aa5d0ec10aa72be126ad9c136b50111, 2018-09-11 10:03:36 -0700, Orion Reblitz-Richardson, 13, 9, 22, LINK)"
11476,1,77,9,86,"(ac994f2c788a8e02fe7756a91a2d0bc292f32b36, 2018-10-16 15:59:23 -0700, Tongzhou Wang, 77, 9, 86, LINK)"
11504,1,44,10,54,"(8b196d671b1a2be26fd6fe73f55aa45fb8a91e1e, 2018-09-11 17:41:28 -0700, Adam Paszke, 44, 10, 54, LINK)"
11518,1,3,0,3,"(09273868903b0b657250bcdd9555aaa49506017f, 2018-09-20 09:20:49 -0700, Soumith Chintala, 3, 0, 3, LINK)"
11535,1,10,11,21,"(bbf54ea37cc063503d6e30ffe2124031f3c87f59, 2018-09-11 18:24:02 -0700, Fritz Obermeyer, 10, 11, 21, LINK)"
11570,1,3,1,4,"(94c513cc7f27d98ec6b5dead0af7fabcf5c5cd13, 2018-09-25 11:10:34 -0700, Orion Reblitz-Richardson, 3, 1, 4, LINK)"
11582,2,10,4,14,"(24a8c13f3620b6f2cdef16e8749b7e49b50de3ed, 2018-09-17 17:29:34 -0700, Pieter Noordhuis, 6, 4, 10, LINK), (02c4cd3c8a3a4234ffbddde8d1214f0cfb209086, 2018-09-12 14:45:52 -0700, Tongzhou Wang, 4, 0, 4, LINK)"
11625,1,35,6,41,"(278e304c18b0da89cbc58ac43b2d5eabdd3fd6f3, 2018-09-14 10:04:05 -0700, James Reed, 35, 6, 41, LINK)"
11647,1,584,99,683,"(006505bb8f9dcf0f38b32518308d071c8a1ccec6, 2018-11-27 15:18:39 -0800, Sam Gross, 584, 99, 683, LINK)"
11652,1,14,0,14,"(e2bc95e1bd39f4cd1813a21290f2f8f6fb51c0eb, 2018-09-18 07:33:31 -0700, Xingdong Zuo, 14, 0, 14, LINK)"
11663,1,17,1,18,"(70e68e755a8fdd94218e9b8e0abfb6b805354a08, 2018-09-14 13:29:06 -0700, David Riazati, 17, 1, 18, LINK)"
1168,1,2,0,2,"(d4336edb052498ed52648c96b89857c11081a99a, 2017-09-06 13:39:44 -0700, Wojciech Glogowski, 2, 0, 2, LINK)"
11683,1,139,23,162,"(3bfa7258b3ec680328e0ebf9dc72a92833bcd2f3, 2018-10-16 20:08:45 -0700, Edward Yang, 139, 23, 162, LINK)"
11732,2,80,2,82,"(7b98af16eeb90a19507ef98db35b325513750cf2, 2019-01-08 19:57:16 -0800, albanD, 40, 1, 41, LINK), (828cb18fa35c7c132ab920de1c0dc6d859f152d6, 2019-01-08 19:57:16 -0800, albanD, 40, 1, 41, LINK)"
11736,2,1072,708,1780,"(8812a5d42e7be858334a4f5bd6acc7e6e942815f, 2018-12-04 00:13:24 -0800, Adam Paszke, 536, 354, 890, LINK), (68ffe469918a5eaa014e230efe81af9c298857aa, 2018-12-03 13:41:05 -0800, Adam Paszke, 536, 354, 890, LINK)"
11739,1,29,21,50,"(7df6650e9c23c507137b9af7ffb94053b8a86a2d, 2018-09-17 14:36:18 -0700, Tongzhou Wang, 29, 21, 50, LINK)"
11750,1,41,5,46,"(a7e3cd09e023685a96f65d8447490455a16a4ebb, 2018-09-17 09:44:51 -0700, Thomas Viehmann, 41, 5, 46, LINK)"
11751,1,28,1,29,"(807de9a1e3cff49dd23fb7df83aea38269ccdd23, 2018-09-25 19:08:00 -0700, Wei Yang, 28, 1, 29, LINK)"
11752,2,18,6,24,"(b403b10ff98a6bc1a238e7ba4eee6393b6b89048, 2019-06-17 12:52:40 -0700, LUO luoyuchu, 15, 4, 19, LINK), (ae1a972d78950abc4dab372f496914b5e78b9637, 2018-09-19 17:07:05 -0700, sytrus-in-github, 3, 2, 5, LINK)"
11755,1,325,3,328,"(b8256280ce45f02a7e105d3b3db4a547990e683d, 2019-05-07 07:46:16 -0700, Ahmad Salim Al-Sibahi, 325, 3, 328, LINK)"
11757,1,109,6,115,"(39bd73ae513358e1fe5881e58b1ab6aea14bed41, 2018-10-04 12:00:29 -0700, vishwakftw, 109, 6, 115, LINK)"
11762,1,1,1,2,"(2732c8bae10881bc7a359af2dfbc812238efb436, 2018-09-18 10:47:21 -0700, Soumith Chintala, 1, 1, 2, LINK)"
11788,1,38,0,38,"(b263078bc3528c1e64a93290d2eaa473bce6ed92, 2018-09-25 13:07:47 -0700, Sam Gross, 38, 0, 38, LINK)"
11795,1,43,9,52,"(1cf5b0c7c19f55411a01c936fb265dd6b7847392, 2018-09-21 13:49:16 -0700, Sam Gross, 43, 9, 52, LINK)"
11800,1,20,8,28,"(4fb7e72fe5969b9de7dde1fbc4499eb1dc8486c8, 2018-09-21 08:24:02 -0700, Thomas Viehmann, 20, 8, 28, LINK)"
11803,1,132,87,219,"(044d00516ccd6572c0d6ab6d54587155b02a3b86, 2018-11-07 11:56:09 -0800, Tongzhou Wang, 132, 87, 219, LINK)"
11804,1,39,56,95,"(4ec6bd73566bb5372e615b963db068143f417bfb, 2018-11-29 09:14:37 -0800, Pieter Noordhuis, 39, 56, 95, LINK)"
