Time period,Number of open performance bugs,Total number of open bugs,Percentage
2016-12,0,29,0.0
2017-01,0,31,0.0
2017-02,2,68,0.029411764705882353
2017-03,2,74,0.02702702702702703
2017-04,5,101,0.04950495049504951
2017-05,10,111,0.09009009009009009
2017-06,8,146,0.0547945205479452
2017-07,13,186,0.06989247311827956
2017-08,16,195,0.08205128205128205
2017-09,15,234,0.0641025641025641
2017-10,19,275,0.06909090909090909
2017-11,21,311,0.06752411575562701
2017-12,35,356,0.09831460674157304
2018-01,42,417,0.10071942446043165
2018-02,48,473,0.1014799154334038
2018-03,55,531,0.10357815442561205
2018-04,61,615,0.0991869918699187
2018-05,62,697,0.08895265423242468
2018-06,75,823,0.0911300121506683
2018-07,78,934,0.0835117773019272
2018-08,82,1041,0.0787704130643612
2018-09,86,1132,0.07597173144876325
2018-10,93,1199,0.07756463719766472
2018-11,111,1398,0.07939914163090128
2018-12,127,1523,0.08338804990151018
2019-01,132,1644,0.08029197080291971
2019-02,140,1706,0.08206330597889801
2019-03,141,1800,0.07833333333333334
2019-04,146,1870,0.07807486631016043
2019-05,158,1940,0.08144329896907217
2019-06,160,1996,0.08016032064128256
2019-07,169,2063,0.08191953465826467
2019-08,178,2117,0.08408124704770903
2019-09,192,2309,0.08315288003464703
2019-10,200,2439,0.08200082000820008
2019-11,213,2549,0.08356218124754806
2019-12,220,2579,0.08530438154323382
2020-01,236,2649,0.08909022272555682
2020-02,247,2785,0.08868940754039498
2020-03,253,2890,0.0875432525951557
2020-04,262,3035,0.08632619439868204
2020-05,281,3181,0.08833700094309965
2020-06,287,3284,0.08739342265529841
2020-07,297,3339,0.0889487870619946
2020-08,322,3501,0.09197372179377321
2020-09,340,3670,0.09264305177111716
2020-10,349,3737,0.09339042012309338
2020-11,352,3770,0.09336870026525199
2020-12,362,3885,0.09317889317889318
2021-01,370,3992,0.09268537074148296
2021-02,388,4090,0.09486552567237164
2021-03,397,4221,0.09405354181473584
2021-04,405,4324,0.09366327474560592
