Issue.ID,Author,Date.Opened,Number.of.Comment.s.,Date.of.first.comment,Date.of.last.time.closed,Time.before.first.comment..in.minutes.,Time.before.issue.last.closed..in.minutes.,Number.of.participants..including.the.author.and.people.who.did.not.comment.on.the.issue.thread.,Number.of.commentators,Commentators..username.alongside.the.number.of.comments.posted.,Issue.labels
10116,StephenChou0119,2018-08-01 10:41,1,2018-08-06 17:46,2018-08-06 17:46,7624.583333,7624.583333,3,1,{'SsnL': 1},mediumpriority(thistagisdeprecated)
10229,Johnccl,2018-08-04 3:39,13,2018-08-04 4:49,2018-08-14 18:15,70.38333333,15276.25,6,5,"{'soumith': 2, 'Johnccl': 2, 'ailzhang': 5, 'ngimel': 2, 'kampta': 2}",mediumpriority(thistagisdeprecated)
10255,richielo,2018-08-06 8:39,1,2018-08-06 16:18,2018-08-06 16:18,459.7666667,459.7666667,2,1,{'soumith': 1},No labels
10290,irishev,2018-08-07 1:58,1,2021-02-13 4:12,2021-02-13 4:12,1326373.533,1326373.533,2,1,{'ngimel': 1},No labels
1034,singlasahil14,2017-03-19 4:24,7,2017-03-19 7:37,2017-03-19 10:37,192.4833333,373.0666667,4,4,"{'apaszke': 2, 'singlasahil14': 3, 'soumith': 1, 'jekbradbury': 1}",No labels
10348,benjamin-work,2018-08-08 11:43,1,2018-08-08 15:01,2018-08-08 15:01,198.3666667,198.3666667,1,1,{'benjamin-work': 1},No labels
10661,fritzo,2018-08-18 22:03,14,2018-08-18 22:04,2019-05-24 15:46,0.233333333,401382.4833,8,7,"{'fritzo': 3, 't-vi': 6, 'weiyangfb': 1, 'neerajprad': 1, 'alexjc': 1, 'artemru': 1, 'qzhu2017': 1}",mediumpriority(thistagisdeprecated)
10757,weiyangfb,2018-08-21 23:28,1,2018-09-07 23:16,2018-09-07 23:16,24467.56667,24467.56667,2,1,{'weiyangfb': 1},todo
10830,aldopareja,2018-08-23 19:56,2,2020-11-11 19:22,2020-11-25 22:39,1167806.333,1188163.417,4,2,"{'ag14774': 1, 'aldopareja': 1}","todo, triaged"
10851,gan-lin,2018-08-24 14:26,0,No comments,2018-08-29 19:27,No comments,7500.383333,2,0,{},mediumpriority(thistagisdeprecated)
1088,aleingrosso,2017-03-24 18:48,4,2017-03-24 19:03,2017-03-24 19:03,14.83333333,14.83333333,4,4,"{'soumith': 1, 'aleingrosso': 1, 'kai3n': 1, 'marioviti': 1}",No labels
109,rbgirshick,2016-10-07 17:22,1,2016-10-07 18:58,2016-10-07 21:56,95.73333333,273.85,2,1,{'soumith': 1},No labels
11064,DetectionIIT,2018-08-30 3:42,1,2021-03-01 21:08,2021-03-01 21:08,1317205.317,1317205.317,3,1,{'H-Huang': 1},module:build
1111,bunelr,2017-03-27 2:20,7,2017-03-27 9:45,2017-08-30 23:34,444.4333333,225914.2333,5,5,"{'ajdroid': 1, 'apaszke': 2, 'bunelr': 2, 'lambda-ai': 1, 'soumith': 1}",No labels
11333,koszpe,2018-09-06 15:44,7,2018-09-20 8:32,2018-12-01 12:46,19728.15,123661.3833,6,4,"{'t-vi': 1, 'vishwakftw': 2, 'koszpe': 3, 'danielcrane': 1}",highpriority
11555,fritzo,2018-09-11 23:19,3,2018-09-11 23:19,2019-11-20 22:36,0.483333333,626356.9667,4,3,"{'fritzo': 1, 'apaszke': 1, 'zdevito': 1}",oncall:jit
11747,zuoxingdong,2018-09-17 8:03,1,2019-07-16 18:02,2019-07-16 18:02,435478.8333,435478.8333,2,1,{'t-vi': 1},No labels
1184,soumith,2017-04-04 19:58,4,2017-04-10 20:57,2017-05-03 23:04,8699.283333,41945.8,3,2,"{'apaszke': 2, 'karandwivedi42': 2}",highpriority
11867,jamesr66a,2018-09-19 18:04,3,2018-09-19 19:08,2021-01-06 18:42,64.18333333,1209638.117,4,2,"{'SsnL': 1, 'ngimel': 2}",module:performance
11931,bfreskura,2018-09-21 9:49,16,2018-09-21 10:16,2021-01-16 6:03,26.43333333,1220893.483,11,9,"{'t-vi': 4, 'bfreskura': 1, 'Walstruzz': 1, 'cpuhrsch': 1, 'jacobkimmel': 1, 'RobertoLat': 2, 'ngimel': 4, 'ezyang': 1, 'kshitij12345': 1}","highpriority, module:performance, todo, triaged"
11945,neerajprad,2018-09-21 18:54,6,2018-09-21 18:59,2018-09-21 19:41,5.45,47.26666667,4,4,"{'t-vi': 1, 'neerajprad': 3, 'zou3519': 1, 'SsnL': 1}",No labels
12006,sundw2014,2018-09-24 9:10,8,2018-09-24 13:45,2019-03-02 4:08,274.9,228658.3833,5,4,"{'SsnL': 1, 'sundw2014': 2, 't-vi': 4, 'vishwakftw': 1}","mediumpriority(thistagisdeprecated), module:performance"
12167,zuoxingdong,2018-09-28 12:09,2,2018-10-17 2:51,2018-10-17 2:54,26802.61667,26805.16667,3,2,"{'weiyangfb': 1, 'SsnL': 1}",No labels
1217,ghost,2017-04-08 14:04,8,2017-04-08 14:11,2017-04-16 13:22,6.55,11477.83333,2,2,"{'soumith': 2, 'apaszke': 1}",No labels
12190,neerajprad,2018-09-29 0:31,19,2018-09-29 0:31,2018-12-03 21:17,0.333333333,94846.3,9,7,"{'neerajprad': 9, 'SsnL': 1, 'apaszke': 1, 'zou3519': 1, 'ailzhang': 4, 'ahmadsalim': 1, 'soumith': 2}","mediumpriority(thistagisdeprecated), module:performance"
1221,jzthree,2017-04-10 7:26,2,2017-04-10 8:19,2017-04-10 22:09,52.98333333,883.35,3,2,"{'albanD': 1, 'apaszke': 1}",highpriority
1223,catalystfrank,2017-04-10 11:04,7,2017-04-12 10:51,2017-05-24 13:52,2866.433333,63527.96667,6,6,"{'Cadene': 1, 'catalystfrank': 2, 'apaszke': 1, 'Spandan-Madan': 1, 'SsnL': 1, 'elgalu': 1}",No labels
12275,denjots,2018-10-03 0:32,6,2018-10-05 15:03,2018-10-07 6:35,3750.8,6123.033333,4,4,"{'ezyang': 1, 'denjots': 1, 'soumith': 2, 'pjh5': 2}",No labels
12283,jiaanguo,2018-10-03 12:25,3,2018-10-05 11:12,2018-10-05 13:18,2806.75,2932.833333,2,2,"{'jiaanguo': 2, 'ezyang': 1}",No labels
1230,SeparateReality,2017-04-11 15:33,3,2017-04-11 16:21,2017-04-11 17:21,47.36666667,107.7166667,3,3,"{'ngimel': 1, 'albanD': 1, 'SeparateReality': 1}",No labels
1237,ghost,2017-04-12 2:14,4,2017-04-12 4:20,2017-04-13 0:40,125.7333333,1345.45,2,2,"{'soumith': 1, 'Cadene': 1}",No labels
12409,tstandley,2018-10-06 2:02,7,2018-10-06 5:43,2019-07-06 18:47,221.1166667,394125.1667,6,5,"{'SsnL': 1, 'fmassa': 3, 'tstandley': 1, 'ohlr': 1, 'ngimel': 1}",todo
1253,MatthiasKohl,2017-04-13 11:55,6,2017-04-13 11:59,2017-04-18 14:10,3.9,7334.683333,3,3,"{'MatthiasKohl': 3, 'apaszke': 2, 'soumith': 1}",No labels
12651,olyaromanyuk,2018-10-15 14:15,1,2018-10-15 17:45,2018-10-15 17:45,210.2833333,210.2833333,2,1,{'SsnL': 1},No labels
12695,arenchdlaam,2018-10-16 2:51,1,2018-10-16 2:54,2018-10-16 2:54,3.416666667,3.416666667,3,1,{'ezyang': 1},caffe2
1272,ghost,2017-04-17 11:18,15,2017-04-18 10:41,2017-09-13 13:04,1403.816667,214666.05,7,7,"{'AleximusOrloff': 2, 'apaszke': 1, 'ngimel': 2, 'egborbe': 1, 'jcjohnson': 2, 'soumith': 2, 'arogozhnikov': 1}","highpriority, module:dependencybug"
1278,TimDettmers,2017-04-18 14:41,7,2017-09-07 14:14,2017-09-25 18:04,204453.5333,230603.5667,3,3,"{'cgosse': 3, 'soumith': 3, 'TimDettmers': 1}",module:performance
12863,wwiiiii,2018-10-19 5:22,2,2018-10-22 15:24,2018-10-22 15:27,4921.783333,4924.133333,3,2,"{'albanD': 1, 'soumith': 1}",No labels
12873,davidmascharka,2018-10-19 14:34,24,2018-10-19 14:43,2019-04-15 16:42,9.366666667,256447.95,17,17,"{'albanD': 3, 'davidmascharka': 2, 'SsnL': 2, 'zou3519': 1, 'longbowzhang': 1, 'Amigoshan': 1, 'xymeng': 1, 'colesbury': 1, 'xxradon': 1, 'TinDang97': 1, 'Hao-Yan': 2, 'yzs981130': 1, 'lamhoangtung': 2, 'dhruvbird': 2, 'duaisha': 1, 'magicly': 1, 'hyperfraise': 1}",No labels
1299,John-Jumper,2017-04-19 15:53,4,2017-04-19 16:05,2018-04-16 17:46,12.1,521392.7,4,4,"{'apaszke': 1, 'John-Jumper': 1, 'melspectrum007': 1, 'SsnL': 1}",todo
13243,shhshn,2018-10-29 9:18,4,2018-10-29 14:43,2018-10-30 15:34,325.2333333,1816.05,4,3,"{'ezyang': 1, 'albanD': 2, 'apaszke': 1}",highpriority
13381,YunYang1994,2018-10-31 9:15,6,2018-10-31 9:26,2019-05-21 22:28,11.18333333,291672.45,5,5,"{'YunYang1994': 2, 'f0k': 1, 'lizhan17': 1, 'ezyang': 1, 'i-amgeek': 1}","module:cpp, module:performance, triaged"
13412,ezyang,2018-10-31 19:43,13,2018-10-31 19:54,2019-12-05 22:28,11.45,576164.95,7,7,"{'ngimel': 2, 'ngoyal2707': 2, 'mruberry': 4, 'gchanan': 1, 'jjsjann123': 2, 'csarofeen': 1, 'ezyang': 1}","highpriority, module:cuda, module:cudnn, module:dependencybug, module:memoryusage, module:performance, triaged"
1346,ankitkv,2017-04-24 20:07,6,2017-04-26 19:45,2017-04-29 19:44,2858.316667,7177.033333,4,4,"{'apaszke': 2, 'ankitkv': 1, 'chenzhekl': 2, 'Kaleidophon': 1}",No labels
13465,anderspapitto,2018-11-01 18:48,0,No comments,2019-03-14 17:12,No comments,191423.95,2,0,{},"module:build, module:windows"
13666,glample,2018-11-07 12:59,6,2018-11-08 16:10,2018-12-11 4:33,1631.15,48453.83333,6,4,"{'mfuntowicz': 3, 'zou3519': 1, 'fmassa': 1, 'nairbv': 1}","mediumpriority(thistagisdeprecated), oncall:distributed"
13722,kamilkk852,2018-11-08 16:17,2,2018-11-12 18:32,2018-11-13 13:35,5895.016667,7037.433333,2,2,"{'zou3519': 1, 'kamilkk852': 1}",No labels
13757,p-morais,2018-11-09 0:20,6,2018-11-09 19:39,2019-04-10 20:57,1159,220117.0167,5,3,"{'colesbury': 2, 'ezyang': 2, 'imaginary-person': 2}","module:cpu, module:mkl, module:multithreading, module:openmp, module:performance, triaged"
13775,dizcza,2018-11-09 17:02,8,2018-11-09 17:46,2018-11-10 7:25,43.26666667,862.95,3,3,"{'SsnL': 2, 'dizcza': 5, 'soumith': 1}",No labels
13807,CorentinJ,2018-11-10 10:11,29,2018-11-11 6:15,2018-12-05 16:27,1203.85,36376.08333,8,7,"{'peterjc123': 5, 'CorentinJ': 11, 'soumith': 7, 'gavrielstate': 2, 'kwea123': 2, 'Abdul-Mukit': 1, 'curzel-it': 1}","module:performance, module:windows"
13843,trias702,2018-11-12 17:07,4,2018-11-13 13:40,2018-11-13 17:13,1233.333333,1446.383333,4,2,"{'SsnL': 2, 'trias702': 2}",todo
13957,jongwook,2018-11-14 6:46,8,2018-11-14 6:52,2019-03-21 19:18,6.533333333,183632.05,4,3,"{'jongwook': 3, 'ezyang': 1, 'zou3519': 4}","highpriority, needsreproduction"
