Issue.ID,Number.of.issue.solving.commits.found,Total.additions.made.to.fix.the.issue,Total.deletions.made.to.fix.the.issue,Total.changes.made.to.fix.the.issue,Commits..commit.hashcode..date.of.commit..commit.s.author..number.of.additions.made.by.the.commit..number.of.deletions.made.by.the.commit..number.of.total.changes.made.by.the.commit..approach.used.to.find.the.commit.
1,12,36062,8407,44469,"(cb5b5ffcf18b26c8125b2a9c4c71971c717b52a1, 2021-01-14 16:41:57 -0800, Ken Franko, 57, 1, 58, LINK), (746817af146e65e1e7ebca3a893cb217a4bec938, 2021-01-05 13:37:31 -0800, Advait Jain, 13, 8, 21, LINK), (b092dd17335aae4d970ddaa433fb6d2096f3feb6, 2020-02-18 17:34:51 -0800, Eugene Zhulenev, 201, 6, 207, LINK), (fa91d6a17f1eaca6cf3f93410f3e1d90c7958939, 2020-01-16 00:20:53 +0900, Frédéric Rechtenstein, 18, 0, 18, LINK), (bf57fb99285fff21a85455de7f330b08a53be095, 2019-04-05 19:36:42 -0700, Chris Lattner, 151, 35, 186, LINK), (2303b8eeeb9637f1f7b721e80f23209ff70643c0, 2018-10-30 17:43:06 -0700, Uday Bondhugula, 299, 23, 322, LINK), (231761f671f5ec9860c3df1e99350137cc3b8af5, 2019-02-26 12:37:26 -0800, A. Unique TensorFlower, 1, 1, 2, LINK), (76eb8726160a192ebe6ac5e61d0a0a539cc0dc1a, 2017-10-04 18:51:57 -0700, Colin Raffel, 1, 1, 2, LINK), (cf7c008ab150ac8e5edb3ed053d38b2919699796, 2017-06-28 11:07:44 -0700, Yifei Feng, 35256, 8213, 43469, LINK), (3faa4d2d9672fb6f8ba8f80a0df45dabeb5a3382, 2017-06-26 10:16:32 -0700, A. Unique TensorFlower, 2, 0, 2, LINK), (052e207e4f1076ac6b7464c01a67ecf4f986766d, 2017-03-30 11:35:17 -0800, Eugene Brevdo, 29, 71, 100, LINK), (45009de073a203f54bff7cec0ea83f88c48237b9, 2016-11-23 12:59:05 -0800, Mustafa Ispir, 34, 48, 82, LINK)"
10,19,59752,13656,73408,"(cf7c008ab150ac8e5edb3ed053d38b2919699796, 2017-06-28 11:07:44 -0700, Yifei Feng, 35256, 8213, 43469, LINK), (3faa4d2d9672fb6f8ba8f80a0df45dabeb5a3382, 2017-06-26 10:16:32 -0700, A. Unique TensorFlower, 2, 0, 2, LINK), (1c156f643c9e5cdf5b349f43111b0cd1391ef468, 2017-02-20 21:11:19 +0100, Hans Pabst, 21, 15, 36, LINK), (c80be35454a418c18b3fd57614bfcb5265274c33, 2016-11-21 11:24:53 -0800, Asim Shankar, 200, 77, 277, LINK), (86e348e59ffe6529c150bb2b3c0ce4bc1fcec5d2, 2016-11-18 10:15:20 -0800, Asim Shankar, 94, 42, 136, LINK), (1f0c5119a0230c5160d45496175b9256f097e144, 2016-11-15 00:15:48 -0800, Asim Shankar, 86, 127, 213, LINK), (4187c410e552ea6a27a9a0ad6402ba5ab2dcb4bf, 2016-10-17 15:33:15 -0800, Asim Shankar, 755, 11, 766, LINK), (47318618b24d493877668750f84d114179120ca5, 2016-10-14 12:33:30 -0800, Asim Shankar, 46, 0, 46, LINK), (b17bbb58663502f0b1f45cf278ce7c0573f92154, 2016-10-11 21:39:46 -0800, Asim Shankar, 216, 1, 217, LINK), (6586a66b1eac161221155b8bf1c2a75677623bc3, 2016-10-10 15:24:11 -0800, Asim Shankar, 203, 6, 209, LINK), (b5b1671163c90cf786fe0c65ca6754a85d017847, 2016-10-07 09:56:00 -0800, Asim Shankar, 297, 106, 403, LINK), (2098b9abcf20d2c9694055bbfd6997bc00b73578, 2016-10-05 09:55:48 -0700, Yifei Feng, 14953, 3894, 18847, LINK), (2b929c1cb298d742c8c10ae28146e1c6562aecd8, 2016-10-04 15:12:44 -0800, Asim Shankar, 74, 1, 75, LINK), (2f6e25df47c24b9c84907b605bdbac4a3b208288, 2016-09-29 13:34:47 -0800, Asim Shankar, 9, 7, 16, LINK), (bad7c50b9dc9789ad7dd0a62daca40b7269841ed, 2016-09-28 20:16:51 -0700, Jonathan Hseu, 6894, 1125, 8019, LINK), (7cacfdf03872c36cfc3f43e75e8c342234160e3a, 2016-09-28 10:37:31 -0800, Asim Shankar, 308, 9, 317, LINK), (7bffed6ba12a4d463a0dfb1978e2108343c63eaf, 2016-09-23 10:25:02 -0800, Asim Shankar, 174, 20, 194, LINK), (bb2aa864b335d18d8468d66cb3dd67203484e2d3, 2016-09-23 09:10:07 -0800, Asim Shankar, 86, 2, 88, LINK), (634105240d4ccc4e17b0639584ce647b0bfbc639, 2015-11-25 00:15:45 -0800, Illia Polosukhin, 78, 0, 78, LINK)"
100,1,2,1,3,"(5ff25c9f61e69c6f4b92611093b25b188fd4086b, 2016-02-13 14:34:59 -0800, Illia Polosukhin, 2, 1, 3, LINK)"
1000,1,5,2,7,"(880011919c7b113802eb23c54ed5b8e2218e4416, 2016-02-08 17:22:40 +0100, panmari, 5, 2, 7, LINK)"
10036,1,8,5,13,"(efbfee8f8781e77bd523fa0ca1883a7c0b6689d7, 2017-06-14 16:30:39 +0200, Androbin, 8, 5, 13, LINK)"
10086,1,9,4,13,"(aff4d124b25c9d6fbf0673dbf9bcad750d8771c0, 2017-06-07 19:07:44 -0700, Yuxin Wu, 9, 4, 13, LINK)"
101,1,328,339,667,"(5c46a3d3bf7653036ecb4b9d3c9d48c426f04300, 2019-08-27 12:43:55 -0700, River Riddle, 328, 339, 667, LINK)"
10124,2,9530,2545,12075,"(e55574f28257bdacd744dcdba86c839e661b1b2a, 2017-09-15 19:38:25 -0700, drpngx, 6502, 1910, 8412, REGEX), (2bc7a155a72d207b4e6254e2cc9a240d523c768e, 2017-09-13 10:03:00 -0700, Yong Tang, 22, 2, 24, REGEX)"
10131,1,48,2,50,"(e18c81a0c5e20c170c4de5d1c484034eafd2aa55, 2017-05-26 13:55:12 -0700, Joshua V. Dillon, 48, 2, 50, LINK)"
10216,1,5,0,5,"(5393c03c69394ba3e5940e204606795c16a8d2da, 2017-06-09 11:43:41 -0700, Geoffrey Irving, 5, 0, 5, LINK)"
