Time period,Number of open performance bugs,Total number of open bugs,Percentage
2016-02,7,146,0.04794520547945205
2016-03,6,171,0.03508771929824561
2016-04,12,214,0.056074766355140186
2016-05,16,296,0.05405405405405406
2016-06,16,236,0.06779661016949153
2016-07,20,272,0.07352941176470588
2016-08,15,296,0.05067567567567568
2016-09,17,364,0.046703296703296704
2016-10,24,411,0.058394160583941604
2016-11,25,383,0.06527415143603134
2016-12,31,449,0.06904231625835189
2017-01,32,443,0.07223476297968397
2017-02,32,402,0.07960199004975124
2017-03,28,458,0.0611353711790393
2017-04,30,491,0.06109979633401222
2017-05,34,546,0.06227106227106227
2017-06,38,635,0.05984251968503937
2017-07,32,394,0.08121827411167512
2017-08,39,504,0.07738095238095238
2017-09,40,564,0.07092198581560284
2017-10,49,612,0.08006535947712418
2017-11,53,675,0.07851851851851852
2017-12,67,788,0.0850253807106599
2018-01,66,775,0.08516129032258064
2018-02,53,719,0.0737134909596662
2018-03,56,819,0.06837606837606838
2018-04,58,860,0.06744186046511629
2018-05,62,906,0.0684326710816777
2018-06,65,994,0.06539235412474849
2018-07,63,992,0.06350806451612903
2018-08,67,1014,0.06607495069033531
2018-09,64,1046,0.06118546845124283
2018-10,60,958,0.06263048016701461
2018-11,63,930,0.06774193548387097
2018-12,73,932,0.07832618025751073
2019-01,77,964,0.07987551867219916
2019-02,77,986,0.07809330628803246
2019-03,76,1024,0.07421875
2019-04,86,1099,0.07825295723384895
2019-05,90,1122,0.08021390374331551
2019-06,94,1173,0.08013640238704177
2019-07,101,1251,0.08073541167066348
2019-08,117,1234,0.09481361426256078
2019-09,128,1284,0.09968847352024922
2019-10,138,1359,0.10154525386313466
2019-11,146,1490,0.09798657718120805
2019-12,152,1586,0.09583858764186633
2020-01,163,1596,0.10213032581453634
2020-02,181,1633,0.11083894672382119
2020-03,190,1674,0.1135005973715651
2020-04,204,1714,0.11901983663943991
2020-05,221,1770,0.1248587570621469
2020-06,236,1844,0.1279826464208243
2020-07,247,1885,0.1310344827586207
2020-08,254,1950,0.13025641025641024
2020-09,271,1978,0.13700707785642063
2020-10,273,1969,0.13864906043676994
2020-11,276,1998,0.13813813813813813
2020-12,282,2051,0.13749390541199416
2021-01,296,2105,0.14061757719714965
2021-02,302,2175,0.13885057471264367
