Issue.ID,Author,Date.Opened,Number.of.Comment.s.,Date.of.first.comment,Date.of.last.time.closed,Time.before.first.comment..in.minutes.,Time.before.issue.last.closed..in.minutes.,Number.of.participants..including.the.author.and.people.who.did.not.comment.on.the.issue.thread.,Number.of.commentators,Commentators..username.alongside.the.number.of.comments.posted.,Issue.labels
10005,Bihaqo,2017-05-18 12:50,2,2017-05-18 14:57,2017-09-08 4:55,126.6833333,162245.05,4,1,{'yaroslavvb': 2},stat:awaitingresponse
10006,arashno,2017-05-18 13:56,2,2017-05-18 19:22,2017-05-18 19:22,325.9166667,325.95,2,2,"{'skye': 1, 'arashno': 1}",No labels
10040,Cospel,2017-05-19 18:18,3,2017-05-19 21:24,2017-06-05 17:52,185.9833333,24454.73333,3,3,"{'skye': 1, 'Cospel': 1, 'michaelisard': 1}",No labels
10044,blake-varden,2017-05-19 19:37,6,2017-05-19 19:39,2017-05-20 1:54,1.95,376.9166667,1,1,{'blake-varden': 6},No labels
10066,oranshayer,2017-05-20 21:52,12,2017-05-21 8:31,2018-01-06 23:00,638.3833333,332707.7,7,7,"{'StefanoD': 1, 'oranshayer': 3, 'aselle': 1, 'gunan': 2, 'tensorflowbutler': 2, 'reedwm': 1, 'mrry': 2}","stat:awaitingresponse, type:bug"
10119,jpangburn,2017-05-22 22:56,6,2017-05-22 23:49,2017-05-23 0:02,53.3,66.15,3,3,"{'asimshankar': 3, 'jpangburn': 1, 'riklopfer': 2}",No labels
10163,jubjamie,2017-05-24 15:45,2,2017-05-24 23:52,2017-05-24 23:52,487.2166667,487.2166667,2,2,"{'andrewharp': 1, 'jubjamie': 1}",No labels
10184,minipeach,2017-05-25 7:36,1,2017-05-26 17:55,2017-05-26 17:55,2058.2,2058.2,2,1,{'asimshankar': 1},No labels
10187,MatthiasDING,2017-05-25 8:41,1,2017-05-26 3:49,2017-05-26 3:49,1147.783333,1147.783333,2,1,{'jart': 1},No labels
10278,dylanrandle,2017-05-29 20:56,7,2017-05-30 17:59,2017-05-30 17:59,1263.016667,1263.483333,4,4,"{'dylanrandle': 3, 'ChandrahasJR': 1, 'psubnwell': 2, 'EmericW': 1}",No labels
10408,Caselles,2017-06-02 21:55,31,2017-06-03 0:22,2019-09-06 4:38,147.2833333,1188402.45,13,14,"{'jart': 2, 'Caselles': 7, 'Dref360': 4, 'fchollet': 5, 'rohanag': 1, 'myyan92': 1, 'ashokpant': 1, 'carusyte': 1, 'Dagalaki': 1, 'jmhjimenez': 1, 'wangyexiang': 2, 'connors2015': 1, 'jvishnuvardhan': 2, 'tensorflow-bot': 1}",type:bug
10485,arunpatro,2017-06-07 7:29,1,2017-06-08 5:50,2017-06-08 5:50,1340.95,1340.95,2,1,{'gunan': 1},No labels
10530,llhe,2017-06-08 12:44,0,No comments,2017-06-22 17:58,No comments,20474.2,2,0,{},No labels
10535,laoreja,2017-06-08 13:50,13,2017-06-08 17:19,2018-02-08 22:29,208.8833333,353318.6833,6,6,"{'michaelisard': 3, 'laoreja': 3, 'aselle': 1, 'andydavis1': 1, 'tensorflowbutler': 4, 'tatatodd': 1}","stat:awaitingresponse, type:bug"
1056,jrabary,2016-02-11 10:08,2,2016-02-11 21:42,2016-03-08 18:25,694.9833333,37937.6,3,2,"{'martinwicke': 1, 'girving': 1}",No labels
10644,penguin1214,2017-06-12 6:07,3,2017-06-13 17:33,2017-09-12 13:06,2126.933333,132899.55,4,3,"{'aselle': 1, 'yongtang': 1, 'tensorflowbutler': 1}",stat:awaitingresponse
10669,July-Morning,2017-06-13 8:32,46,2017-06-13 8:41,2017-08-23 11:35,9.116666667,102422.3667,12,11,"{'aselle': 2, 'July-Morning': 23, 'alextp': 8, 'yaroslavvb': 5, 'petewarden': 1, 'brezhnyev': 1, 'ydp': 1, 'abhigoku10': 2, 'lovychen': 1, 'sathyamoorthyrr': 1, 'tangjie77wd': 1}",type:bug
10723,GD06,2017-06-15 7:14,12,2017-06-15 17:01,2017-06-17 0:01,587.1166667,2446.8,6,6,"{'aselle': 1, 'tfboyd': 5, 'ppwwyyxx': 1, 'GD06': 3, 'byronyi': 1, 'kazemSafari': 1}",type:bug
10730,zhaoerchao,2017-06-15 12:00,17,2017-06-16 0:00,2017-12-21 18:29,720.3833333,272549.15,9,9,"{'aselle': 1, 'zhangyaobit': 5, 'zhaoerchao': 5, 'yycho0108': 1, 'yzhwang': 1, 'prb12': 1, 'zheng-xq': 1, 'tensorflowbutler': 1, 'michaelisard': 1}",type:bug
10765,chenghuige,2017-06-16 13:52,2,2018-08-24 21:39,2018-09-05 1:51,625427.3833,641519.6,4,2,"{'tensorflowbutler': 1, 'chenghuige': 1}",type:bug
10769,3rd3,2017-06-16 16:19,4,2017-06-16 18:17,2017-06-21 18:04,118.2166667,7305.133333,7,4,"{'decentralion': 1, 'mrry': 1, 'yaroslavvb': 1, 'twangnh': 1}",stat:awaitingtensorflower
10997,RockfordWei,2017-06-22 21:10,7,2017-06-23 0:19,2017-06-23 14:04,188.3166667,1014.2,5,2,"{'mrry': 4, 'RockfordWei': 3}",No labels
11022,amelius15,2017-06-23 22:35,5,2017-06-26 21:43,2018-01-05 19:22,4267.116667,282046.4667,7,3,"{'ppwwyyxx': 1, 'yzhwang': 2, 'tensorflowbutler': 2}",type:bug
1105,omarcr,2016-02-15 15:38,8,2016-02-16 1:38,2016-02-16 3:50,599.95,731.9666667,4,3,"{'vrv': 4, 'omarcr': 1, 'mohamed-ali': 1}",type:bug
11255,alexvays,2017-07-04 1:55,5,2017-07-07 16:21,2017-07-07 20:13,5185.383333,5418.1,4,4,"{'andydavis1': 1, 'honkentuber': 1, 'martinwicke': 2, 'alexvays': 1}",stat:awaitingtensorflower
11273,drasmuss,2017-07-04 14:24,1,2017-07-04 15:37,2017-07-06 17:11,72.93333333,3047.183333,3,1,{'drasmuss': 1},stat:awaitingtensorflower
11334,faifai21,2017-07-06 20:31,30,2017-07-07 16:58,2018-03-20 18:49,1227.066667,369977.3167,10,9,"{'cy89': 2, 'faifai21': 9, 'andrewharp': 2, 'asimshankar': 4, 'rhythm9229': 1, 'Mr-Grieves': 2, 'tensorflowbutler': 6, 'drpngx': 2, 'deepaksuresh': 2}","stat:awaitingresponse, type:bug"
11373,redserpent7,2017-07-08 12:14,1,2017-07-10 18:03,2017-07-10 18:03,3229.366667,3229.366667,2,1,{'michaelisard': 1},No labels
11398,thiell,2017-07-09 19:02,11,2017-07-10 21:20,2017-12-21 2:33,1578.866667,236611.4667,10,8,"{'printdhruv': 2, 'bkrosenz': 1, 'thiell': 2, 'Alderasus': 1, 'ali01': 1, 'poxvoculi': 1, 'nealwu': 2, 'tensorflowbutler': 1}","stat:awaitingtensorflower, type:bug"
11411,ahaider3,2017-07-10 15:50,33,2017-07-10 18:31,2018-03-26 20:14,161.5166667,373224.1667,8,8,"{'byronyi': 11, 'ahaider3': 4, 'eamartin': 2, 'jart': 3, 'suiyuan2009': 4, 'futurely': 1, 'littleDing': 1, 'tensorflowbutler': 7}",type:bug
11514,suiyuan2009,2017-07-15 9:57,3,2018-01-02 23:16,2018-09-28 21:29,247039.0167,634292.0333,5,3,"{'zhangyaobit': 1, 'tensorflowbutler': 1, 'Harshini-Gadige': 1}",No labels
11591,jrbtaylor,2017-07-18 21:54,10,2017-07-18 22:09,2017-07-25 0:43,15.16666667,8809.116667,5,5,"{'drpngx': 1, 'jrbtaylor': 3, 'mrry': 3, 'reedwm': 1, 'kvanhoey': 2}",No labels
